DATE,PRUBBUSDM
1990-01-01,37.7299995422363
1990-02-01,38.6800003051758
1990-03-01,37.5800018310547
1990-04-01,38.0099983215332
1990-05-01,38.75
1990-06-01,38.6699981689453
1990-07-01,39.0099983215332
1990-08-01,40.0800018310547
1990-09-01,40.6199989318848
1990-10-01,40.6500015258789
1990-11-01,40.7400016784668
1990-12-01,40.1399993896484
1991-01-01,39.3800010681152
1991-02-01,38.4900016784668
1991-03-01,37.7599983215332
1991-04-01,37.3300018310547
1991-05-01,37.2290000915527
1991-06-01,37.939998626709
1991-07-01,37.3133125305176
1991-08-01,37.0496864318848
1991-09-01,36.7922973632813
1991-10-01,37.5064506530762
1991-11-01,36.9551887512207
1991-12-01,35.7230834960938
1992-01-01,36.3472557067871
1992-02-01,36.7998466491699
1992-03-01,37.5077896118164
1992-04-01,38.9329795837402
1992-05-01,39.3038864135742
1992-06-01,39.8719711303711
1992-07-01,40.1200256347656
1992-08-01,39.8480911254883
1992-09-01,39.652172088623
1992-10-01,40.3660621643066
1992-11-01,40.137523651123
1992-12-01,40.0838279724121
1993-01-01,41.0923004150391
1993-02-01,40.5738983154297
1993-03-01,38.4748191833496
1993-04-01,37.3938331604004
1993-05-01,36.9416618347168
1993-06-01,36.781982421875
1993-07-01,36.6773490905762
1993-08-01,37.3352432250977
1993-09-01,37.330997467041
1993-10-01,36.2018737792969
1993-11-01,36.7000007629395
1993-12-01,36.9828758239746
1994-01-01,36.6970481872559
1994-02-01,38.7229843139648
1994-03-01,41.4017639160156
1994-04-01,43.0258674621582
1994-05-01,44.4239311218262
1994-06-01,47.6454467773438
1994-07-01,56.7508430480957
1994-08-01,57.2041358947754
1994-09-01,57.4546775817871
1994-10-01,62.0467109680176
1994-11-01,60.9529418945313
1994-12-01,66.4718246459961
1995-01-01,74.5844345092773
1995-02-01,80.3208160400391
1995-03-01,81.7763366699219
1995-04-01,83.4583282470703
1995-05-01,78.1338729858398
1995-06-01,69.6610107421875
1995-07-01,60.9580421447754
1995-08-01,58.8694648742676
1995-09-01,61.1029472351074
1995-10-01,63.956729888916
1995-11-01,73.1826400756836
1995-12-01,74.2052536010742
1996-01-01,70.2992553710938
1996-02-01,70.5528717041016
1996-03-01,70.6951370239258
1996-04-01,66.6406784057617
1996-05-01,67.3298873901367
1996-06-01,66.9493255615234
1996-07-01,61.2968292236328
1996-08-01,59.0986747741699
1996-09-01,59.1942138671875
1996-10-01,56.3275604248047
1996-11-01,57.6167221069336
1996-12-01,57.0197410583496
1997-01-01,55.8481178283691
1997-02-01,55.3733787536621
1997-03-01,55.6373825073242
1997-04-01,52.1887283325195
1997-05-01,50.2027168273926
1997-06-01,50.4376411437988
1997-07-01,42.583309173584
1997-08-01,41.5438346862793
1997-09-01,39.4330215454102
1997-10-01,39.6250038146973
1997-11-01,38.1292304992676
1997-12-01,32.9057197570801
1998-01-01,30.6676578521729
1998-02-01,37.3037719726563
1998-03-01,33.791934967041
1998-04-01,35.0308113098145
1998-05-01,35.4933815002441
1998-06-01,31.8879814147949
1998-07-01,31.9238033294678
1998-08-01,29.6425247192383
1998-09-01,30.9741363525391
1998-10-01,33.0645370483398
1998-11-01,32.5996360778809
1998-12-01,30.4433860778809
1999-01-01,32.4237251281738
1999-02-01,31.1576550487994
1999-03-01,28.8789215624098
1999-04-01,26.8336015897715
1999-05-01,27.1119141366967
1999-06-01,27.377572033794
1999-07-01,25.6837037755005
1999-08-01,25.4753358415723
1999-09-01,27.0186197501992
1999-10-01,29.3584884365298
1999-11-01,33.5908337597613
1999-12-01,31.0779352423479
2000-01-01,29.207387288305
2000-02-01,33.3910988232947
2000-03-01,30.9419130507091
2000-04-01,31.9301483398313
2000-05-01,31.2017020258803
2000-06-01,30.3866550681669
2000-07-01,29.4021076293167
2000-08-01,30.3085171496012
2000-09-01,29.8124884983428
2000-10-01,30.1277751472933
2000-11-01,28.7437287406289
2000-12-01,28.1258451618706
2001-01-01,27.6103437361532
2001-02-01,27.3004069271481
2001-03-01,26.0187851525231
2001-04-01,26.2534988467767
2001-05-01,27.51473477331
2001-06-01,28.1185662296469
2001-07-01,27.4841214793241
2001-08-01,26.6036904584991
2001-09-01,26.292151018594
2001-10-01,24.3699386646521
2001-11-01,23.3473647814519
2001-12-01,22.1199072290676
2002-01-01,25.7274386290273
2002-02-01,28.3348137073603
2002-03-01,30.4060736454083
2002-04-01,30.5710009457509
2002-05-01,31.9800767861452
2002-06-01,38.1194117462331
2002-07-01,37.7212614451261
2002-08-01,39.1259414196287
2002-09-01,40.4003165097905
2002-10-01,37.4785970122049
2002-11-01,38.1078708057541
2002-12-01,38.4589515238658
2003-01-01,40.8439797087274
2003-02-01,44.3216971632299
2003-03-01,48.0160494131156
2003-04-01,44.6582837198907
2003-05-01,44.7716819472496
2003-06-01,46.0828796324256
2003-07-01,45.0388176923323
2003-08-01,47.2060620748377
2003-09-01,50.1580977467978
2003-10-01,58.8783317878305
2003-11-01,57.317134018561
2003-12-01,56.4615173935601
2004-01-01,56.9385099372127
2004-02-01,58.6985034776252
2004-03-01,60.3278569549401
2004-04-01,62.9846154244917
2004-05-01,60.96288702815
2004-06-01,62.0396301965008
2004-07-01,56.439917731206
2004-08-01,55.5759312370429
2004-09-01,56.4156181110577
2004-10-01,57.687298232154
2004-11-01,55.6841995445927
2004-12-01,53.664361118707
2005-01-01,53.6713810089721
2005-02-01,57.09267223323
2005-03-01,59.7969470723052
2005-04-01,59.5394692790162
2005-05-01,61.6602861264073
2005-06-01,66.0132317175254
2005-07-01,76.7382004284509
